id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sam Worthington,Ingenious Film Partners,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sam Worthington,Twentieth Century Fox Film Corporation,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sam Worthington,Dune Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sam Worthington,Lightstorm Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Zoe Saldana,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Zoe Saldana,Ingenious Film Partners,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Zoe Saldana,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Zoe Saldana,Twentieth Century Fox Film Corporation,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Zoe Saldana,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Zoe Saldana,Dune Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Zoe Saldana,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Zoe Saldana,Lightstorm Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sigourney Weaver,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sigourney Weaver,Ingenious Film Partners,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sigourney Weaver,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,Sigourney Weaver,Twentieth Century Fox Film Corporation,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
